CaseStudy,Reference,Scenario,fci_class,tci_class,fixed_op_class,total_op_class,annual_op_class,elect_intens_class,catchem_class,other_class,wr_const_class,Unit,Type,UnitName,ToUnitName,FromPort,Parameter
emwd,nawi,dwi,,,,,,,5,,,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,dwi,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration_a,"menifee_a,menifee_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,dwi,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,menifee_a,"decarbonator_a,deep_well_injection","outlet,waste",{'erd': 'no'}
emwd,nawi,dwi,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,menifee_b,"decarbonator_a,deep_well_injection","outlet,waste",{'erd': 'no'}
emwd,nawi,dwi,,,,,,,5,,,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,dwi,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration_b,"perris_i_a,perris_i_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,dwi,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,perris_i_a,"decarbonator_b,deep_well_injection","outlet,waste",{'erd': 'no'}
emwd,nawi,dwi,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,perris_i_b,"decarbonator_b,deep_well_injection","outlet,waste",{'erd': 'no'}
emwd,nawi,dwi,,,,,,,5,,,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,dwi,4,4,,,,,5,,,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,dwi,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 3}
emwd,nawi,dwi,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
emwd,nawi,dwi,,,,,,,5,,,deep_well_injection,waste,deep_well_injection,,,"{'pipe_distance': 70, 'lift_height': 400}"
,,,,,,,,,,,,,,,,,
ZLD A: RO1 > Lime Softening > RO2 > Evaporation Pond > Landfill,,,,,,,,,,,,,,,,,
emwd,nawi,zld_a,3.5,3.5,,,,,5,,,well_field,intake,well_field,iron_and_manganese_removal,outlet,{'water_type': ['emwd_ca_brackish']}
emwd,nawi,zld_a,,,,,,,5,,,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,zld_a,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration_a,menifee_first_pass,outlet,
emwd,nawi,zld_a,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,menifee_first_pass,"decarbonator_a,passthrough_a","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_a,,,,,,,5,,,basic_unit,treatment,passthrough_a,lime_softening_a,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_a,,,,,,,5,,,lime_softening,treatment,lime_softening_a,menifee_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_a,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,menifee_second_pass,"decarbonator_a,evaporation_pond","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_a,,,,,,,5,,,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_a,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration_b,perris_i_first_pass,outlet,
emwd,nawi,zld_a,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,perris_i_first_pass,"decarbonator_b,passthrough_b","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_a,,,,,,,5,,,basic_unit,treatment,passthrough_b,lime_softening_b,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_a,,,,,,,5,,,lime_softening,treatment,lime_softening_b,perris_i_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_a,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,perris_i_second_pass,"decarbonator_b,evaporation_pond","outlet,waste",{'erd': 'no'}
emwd,nawi,zld_a,,,,,,,5,,,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_a,4,4,,,,,5,,,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,zld_a,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 3}
emwd,nawi,zld_a,4,4,,,,,5,,,evaporation_pond,treatment,evaporation_pond,landfill_zld,waste,{'approach': 'wt3'}
emwd,nawi,zld_a,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
emwd,nawi,zld_a,,,,,,,5,,,landfill_zld,waste,landfill_zld,,,
,,,,,,,,,,,,,,,,,
ZLD B: RO1 > Lime Softening > RO2 > Brine Concentrator > Evaporation Pond > Landfill,,,,,,,,,,,,,,,,,
emwd,nawi,zld_b,3.5,3.5,,,,,5,,,well_field,intake,well_field,iron_and_manganese_removal,outlet,{'water_type': ['emwd_ca_brackish']}
