compound,c0,c0_std,c_norm,bv,cb,tb,bed_depth,bed_diam,bed_vol,resin_dens,vel_bed,ref,conc_units,flow_in,ebct,resin,notes
pfoa,11.4,,0.138609251,15449.4382,1.580145463,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.185706903,17584.26966,2.117058696,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.227392392,18988.76404,2.59227327,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.340935085,20280.89888,3.886659968,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.399094373,23764.04494,4.549675854,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.446617298,24775.2809,5.091437194,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.511172476,27078.65169,5.827366228,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.511172476,31741.57303,5.827366228,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.499799105,34325.8427,5.697709801,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.467174913,35898.8764,5.325794009,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.572041315,38595.50562,6.521270989,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.399094373,41404.49438,4.549675854,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.456780469,42696.62921,5.207297352,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.511172476,44606.74157,5.827366228,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.522804658,46123.59551,5.959973101,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.005476451,9.398496241,0.022727273,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.005476451,827.0676692,0.022727273,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.008214677,1926.691729,0.034090909,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.005476451,2462.406015,0.022727273,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.005476451,3223.684211,0.022727273,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.005476451,3928.571429,0.022727273,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.030120482,4971.804511,0.125,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.1067908,6156.015038,0.443181818,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.202628697,6917.293233,0.840909091,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.26286966,7763.157895,1.090909091,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.364184009,8778.195489,1.511363636,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.5449069,9426.691729,2.261363636,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.624315444,10103.38346,2.590909091,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,1.013143483,11851.50376,4.204545455,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.939211391,12415.41353,3.897727273,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,1.035049288,13486.84211,4.295454545,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,1.177437021,17095.86466,4.886363636,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.985761227,19295.11278,4.090909091,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfpea,4.15,,0.843373494,20676.69173,3.5,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.002483971,-9.174311927,0.019002375,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.000310496,761.4678899,0.002375297,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.000310496,1889.908257,0.002375297,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.000310496,2467.889908,0.002375297,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.000310496,3293.577982,0.002375297,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.000310496,3844.036697,0.002375297,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.000310496,4972.477064,0.002375297,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.006830919,6100.917431,0.052256532,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.017698291,6899.082569,0.135391924,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.032912611,7697.247706,0.251781473,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.052473879,8770.642202,0.401425178,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.058994302,9458.715596,0.451306413,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.102463788,10091.74312,0.783847981,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.232872246,11825.68807,1.781472684,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.258953938,12376.14679,1.980997625,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.350239858,13477.06422,2.679334917,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.613230249,17110.09174,4.691211401,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.704516169,19311.92661,5.389548694,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfhxa,7.65,,0.691475323,20660.55046,5.289786223,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.000183867,9.225092251,0.003221355,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.000179828,7785.97786,0.003150593,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.000183867,9889.298893,0.003221355,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.000391272,12214.02214,0.006855085,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.005261337,13819.18819,0.092178625,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.000610105,15535.05535,0.010689045,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.004308037,17583.02583,0.075476804,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.003687697,19022.14022,0.06460846,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.020394852,19077.49077,0.357317809,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.011704773,20239.8524,0.205067627,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfos,17.52,,0.021800149,23671.58672,0.381938615,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
