,c0_mass,WR,Volt,c_prod_mass,Sol_Cond,
379,15,0.7,60,1.953813081,optimal,
380,15,0.7,62,1.887076922,optimal,
381,15,0.7,64,1.829613849,optimal,
382,15,0.7,66,1.780237161,optimal,
383,15,0.7,68,1.737890189,optimal,
384,15,0.7,70,1.701636643,optimal,
385,15,0.7,72,1.670650753,optimal,
386,15,0.7,74,1.64420747,optimal,
387,15,0.7,76,1.621672887,optimal,
388,15,0.7,78,1.602494983,optimal,
389,15,0.7,80,1.586194787,optimal,
390,15,0.7,82,1.572358033,optimal,
391,15,0.7,84,1.560627383,optimal,
392,15,0.7,86,1.550695272,optimal,
393,15,0.7,88,1.542297417,optimal,
394,15,0.7,90,1.535207,optimal,
395,15,0.7,92,1.529229517,optimal,
396,15,0.7,94,1.52419827,optimal,
397,15,0.7,96,,infeasible,
398,15,0.7,98,,infeasible,
399,15,0.7,100,,infeasible,
400,15,0.9,2,14.65737804,optimal,
401,15,0.9,4,14.2788557,optimal,
402,15,0.9,6,13.86974094,optimal,
403,15,0.9,8,13.43589578,optimal,
404,15,0.9,10,12.98322227,optimal,
405,15,0.9,12,12.51732719,optimal,
406,15,0.9,14,12.04333992,optimal,
407,15,0.9,16,11.56583843,optimal,
408,15,0.9,18,11.08884175,optimal,
409,15,0.9,20,10.61583804,optimal,
410,15,0.9,22,10.14982856,optimal,
411,15,0.9,24,9.693375797,optimal,
412,15,0.9,26,9.248649859,optimal,
413,15,0.9,28,8.817470212,optimal,
414,15,0.9,30,8.401342023,optimal,
415,15,0.9,32,8.001487231,optimal,
416,15,0.9,34,7.618871105,optimal,
417,15,0.9,36,7.254224935,optimal,
418,15,0.9,38,6.908066168,optimal,
419,15,0.9,40,6.580716313,optimal,
420,15,0.9,42,6.272317745,optimal,
421,15,0.9,44,,infeasible,
422,15,0.9,46,5.712144668,optimal,
423,15,0.9,48,5.459902993,optimal,
424,15,0.9,50,,infeasible,
425,15,0.9,52,5.009051416,optimal,
426,15,0.9,54,4.809328769,optimal,
427,15,0.9,56,4.625875186,optimal,
428,15,0.9,58,,infeasible,
429,15,0.9,60,4.4,infeasible,
430,15,0.9,62,,infeasible,
431,15,0.9,64,,infeasible,
432,15,0.9,66,,infeasible,
433,15,0.9,68,,infeasible,
434,15,0.9,70,,infeasible,
435,15,0.9,72,,infeasible,
436,15,0.9,74,,infeasible,
437,15,0.9,76,,infeasible,
438,15,0.9,78,,infeasible,
439,15,0.9,80,,infeasible,
440,15,0.9,82,,infeasible,
441,15,0.9,84,,infeasible,
442,15,0.9,86,,infeasible,
443,15,0.9,88,,infeasible,
444,15,0.9,90,,infeasible,F
445,15,0.9,92,,infeasible,
446,15,0.9,94,,infeasible,
447,15,0.9,96,,infeasible,
448,15,0.9,98,,infeasible,
449,15,0.9,100,,infeasible,
