,Feed,S_A,S_F,S_I,S_N2,S_NH4,S_NO3,S_O2,S_PO4,X_AUT,X_H,X_I,X_PAO,X_PHA,X_PP,X_S,c_cost,o_cost,lcow,e_cost,byS_PO4,Temp
50,1.014989524,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732523,1.00E-06,1.00E-06,0.569349696,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.285,8187.166992,4.05767373,0.044,2787793.104,304.15
51,1.051787045,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732469,1.00E-06,1.00E-06,0.587602454,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.285,6343.87524,4.024689039,0.044,2879827.061,304.15
52,1.025473488,0.110941622,19.49473333,0.026604289,1.00E-06,1.141769602,1.00E-06,1.00E-06,0.574549034,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.285,7662.102648,4.048277992,0.044,2815157.013,304.15
53,1.129861808,0.110941622,19.49473333,0.026604289,1.00E-06,1.141778808,1.00E-06,1.00E-06,0.626313956,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.282,2434.526268,3.954733386,0.044,3068048.621,306.15
54,1.006264114,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732565,1.00E-06,1.00E-06,0.565021669,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,8624.24744,4.065495041,0.044,2768578.895,306.15
55,0.987564581,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732589,1.00E-06,1.00E-06,0.555746041,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,9560.965386,4.082257093,0.044,2723170.197,306.15
56,1.013436841,0.110941622,19.49473333,0.026604289,1.00E-06,1.141730685,1.00E-06,1.00E-06,0.5685796,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,8264.942623,4.059065479,0.044,2786659.466,306.15
57,1.061578906,0.110941622,19.49473333,0.026604289,1.00E-06,1.141723211,1.00E-06,1.00E-06,0.592459593,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,5853.373638,4.015911779,0.044,2904318.854,306.15
58,0.998045251,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732297,1.00E-06,1.00E-06,0.560944824,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,9035.955682,4.072862333,0.044,2750281.011,306.15
59,1.095945912,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732112,1.00E-06,1.00E-06,0.60950662,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,4131.845648,3.985105983,0.044,2986553.084,306.15
60,0.985785888,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732478,1.00E-06,1.00E-06,0.55486374,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,9650.066322,4.083851505,0.044,2718805.461,306.15
61,1.100828089,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732791,1.00E-06,1.00E-06,0.611928109,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,3887.307085,3.9807301,0.044,2995633.433,306.15
62,1.080536696,0.110941622,19.49473333,0.026604289,1.00E-06,1.141667254,1.00E-06,1.00E-06,0.60186321,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,4903.73042,3.998918436,0.044,2951656.608,306.15
63,1.100859996,0.110941622,19.49473333,0.026604289,1.00E-06,1.14188335,1.00E-06,1.00E-06,0.611944132,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,3885.688902,3.980701144,0.044,2995555.371,306.15
64,0.99136581,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732686,1.00E-06,1.00E-06,0.557631591,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,9370.549284,4.078849701,0.044,2732367.475,306.15
65,1.026026812,0.110941622,19.49473333,0.026604289,1.00E-06,1.14173248,1.00E-06,1.00E-06,0.574824635,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,7634.275249,4.047780033,0.044,2817226.015,306.15
66,1.12144541,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732592,1.00E-06,1.00E-06,0.622155068,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,2854.516833,3.962248887,0.044,3048568.881,306.15
67,0.936062302,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732466,1.00E-06,1.00E-06,0.530198874,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,12140.89713,4.128423551,0.044,2597948.784,306.15
68,1.147911774,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732426,1.00E-06,1.00E-06,0.635283053,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,1528.760958,3.938525216,0.044,3112855.204,306.15
69,1.110272357,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732754,1.00E-06,1.00E-06,0.616612934,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,3414.200305,3.972264115,0.044,3021381.187,306.15
70,1.096834696,0.110941622,19.49473333,0.026604289,1.00E-06,1.1417325,1.00E-06,1.00E-06,0.609947483,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.283,4087.324089,3.984309295,0.044,2990100.953,306.15
71,0.969434181,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732811,1.00E-06,1.00E-06,0.546752762,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.281,10469.17606,4.098509019,0.044,2679061.746,308.15
72,1.073023229,0.110941622,19.49473333,0.026604289,1.00E-06,1.141731788,1.00E-06,1.00E-06,0.598136396,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.281,5280.097425,4.005653313,0.044,2932515.681,308.15
73,1.095291112,0.110941622,19.49473333,0.026604289,1.00E-06,1.141743647,1.00E-06,1.00E-06,0.609187435,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.282,4164.083107,3.985682853,0.044,2984155.259,308.15
74,0.991535892,0.110941622,19.49473333,0.026604289,1.00E-06,1.141643907,1.00E-06,1.00E-06,0.557718441,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.281,9361.783025,4.078692831,0.044,2733042.267,308.15
75,1.044164363,0.110941622,19.49473333,0.026604289,1.00E-06,1.141708675,1.00E-06,1.00E-06,0.583821651,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.281,6725.700471,4.031521584,0.044,2860763.572,308.15
76,0.990777997,0.110941622,19.49473333,0.026604289,1.00E-06,1.141536597,1.00E-06,1.00E-06,0.557341338,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.281,9399.866126,4.079374307,0.044,2731128.067,308.15
77,1.11249025,0.110941622,19.49473333,0.026604289,1.00E-06,1.14173257,1.00E-06,1.00E-06,0.617713138,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.281,3303.10143,3.970276058,0.044,3025250.086,308.15
