case_study,scenario,value,reference,variable
ocwd,baseline,0.9,nawi,employee_benefits_percent
ocwd,baseline,0.008,nawi,maintenance_cost_percent
ocwd,baseline,0.003,nawi,laboratory_fees_percent
ocwd,baseline,0.002,nawi,insurance_and_taxes_percent
ocwd,baseline,0.7,nawi,default_cap_scaling_exp
ocwd,baseline,0.7,nawi,default_opex_scaling_exp
ocwd,baseline,0,nawi,cap_by_equity
ocwd,baseline,0.02,nawi,debt_interest_rate
ocwd,baseline,0.1,nawi,exp_return_on_equity
ocwd,baseline,3.4,nawi,default_tpec_multiplier
ocwd,baseline,1.65,nawi,default_tic_multiplier
ocwd,baseline,0.0005,nawi,base_salary_per_fci
ocwd,baseline,0.93,nawi,plant_cap_utilization
produced_water_injection,baseline,2020,nawi,analysis_year
produced_water_injection,baseline,texas,nawi,location_basis
produced_water_injection,baseline,15,nawi,plant_life_yrs
produced_water_injection,baseline,0.0015,nawi,land_cost_percent
produced_water_injection,baseline,0.05,nawi,working_capital_percent
produced_water_injection,baseline,0.001,nawi,salaries_percent
produced_water_injection,baseline,0.9,nawi,employee_benefits_percent
produced_water_injection,baseline,0.008,nawi,maintenance_cost_percent
produced_water_injection,baseline,0.002667,nawi,laboratory_fees_percent
produced_water_injection,baseline,0.001867,nawi,insurance_and_taxes_percent
produced_water_injection,baseline,0.7,nawi,default_cap_scaling_exp
produced_water_injection,baseline,0.7,nawi,default_opex_scaling_exp
produced_water_injection,baseline,0.4,nawi,cap_by_equity
produced_water_injection,baseline,0.08,nawi,debt_interest_rate
produced_water_injection,baseline,0.1,nawi,exp_return_on_equity
produced_water_injection,baseline,3.4,nawi,default_tpec_multiplier
produced_water_injection,baseline,1.65,nawi,default_tic_multiplier
produced_water_injection,baseline,0.0005,nawi,base_salary_per_fci
produced_water_injection,baseline,1,nawi,plant_cap_utilization
pulp_and_paper,baseline,2020,nawi,analysis_year
pulp_and_paper,baseline,washington,nawi,location_basis
pulp_and_paper,baseline,20,nawi,plant_life_yrs
pulp_and_paper,baseline,0.0015,nawi,land_cost_percent
pulp_and_paper,baseline,0.05,nawi,working_capital_percent
pulp_and_paper,baseline,0.001,nawi,salaries_percent
pulp_and_paper,baseline,0.9,nawi,employee_benefits_percent
pulp_and_paper,baseline,0.008,nawi,maintenance_cost_percent
pulp_and_paper,baseline,0.003,nawi,laboratory_fees_percent
pulp_and_paper,baseline,0.002,nawi,insurance_and_taxes_percent
pulp_and_paper,baseline,0.7,nawi,default_cap_scaling_exp
pulp_and_paper,baseline,0.7,nawi,default_opex_scaling_exp
pulp_and_paper,baseline,0.4,nawi,cap_by_equity
pulp_and_paper,baseline,0.04,nawi,debt_interest_rate
pulp_and_paper,baseline,0.1,nawi,exp_return_on_equity
pulp_and_paper,baseline,3.4,nawi,default_tpec_multiplier
pulp_and_paper,baseline,1.65,nawi,default_tic_multiplier
pulp_and_paper,baseline,0.0005,nawi,base_salary_per_fci
pulp_and_paper,baseline,1,nawi,plant_cap_utilization
san_luis,baseline,2020,nawi,analysis_year
san_luis,baseline,california,nawi,location_basis
san_luis,baseline,30,nawi,plant_life_yrs
san_luis,baseline,0.0015,nawi,land_cost_percent
san_luis,baseline,0.05,nawi,working_capital_percent
san_luis,baseline,0.001,nawi,salaries_percent
san_luis,baseline,0.9,nawi,employee_benefits_percent
san_luis,baseline,0.008,nawi,maintenance_cost_percent
san_luis,baseline,0.003,nawi,laboratory_fees_percent
san_luis,baseline,0.002,nawi,insurance_and_taxes_percent
san_luis,baseline,0.7,nawi,default_cap_scaling_exp
san_luis,baseline,0.7,nawi,default_opex_scaling_exp
san_luis,baseline,0,nawi,cap_by_equity
san_luis,baseline,0.05,nawi,debt_interest_rate
san_luis,baseline,0.1,nawi,exp_return_on_equity
san_luis,baseline,3.4,nawi,default_tpec_multiplier
san_luis,baseline,1.65,nawi,default_tic_multiplier
san_luis,baseline,0.0005,nawi,base_salary_per_fci
san_luis,baseline,1,nawi,plant_cap_utilization
santa_barbara,baseline,2020,nawi,analysis_year
santa_barbara,baseline,california,nawi,location_basis
santa_barbara,baseline,20,nawi,plant_life_yrs
santa_barbara,baseline,0.0015,nawi,land_cost_percent
santa_barbara,baseline,0.05,nawi,working_capital_percent
santa_barbara,baseline,0.001,nawi,salaries_percent
santa_barbara,baseline,0.9,nawi,employee_benefits_percent
santa_barbara,baseline,0.008,nawi,maintenance_cost_percent
santa_barbara,baseline,0.003,nawi,laboratory_fees_percent
santa_barbara,baseline,0.002,nawi,insurance_and_taxes_percent
santa_barbara,baseline,0.7,nawi,default_cap_scaling_exp
santa_barbara,baseline,0.7,nawi,default_opex_scaling_exp
santa_barbara,baseline,0,nawi,cap_by_equity
santa_barbara,baseline,0.05,nawi,debt_interest_rate
santa_barbara,baseline,0.1,nawi,exp_return_on_equity
santa_barbara,baseline,3.4,nawi,default_tpec_multiplier
santa_barbara,baseline,1.65,nawi,default_tic_multiplier
santa_barbara,baseline,0.0005,nawi,base_salary_per_fci
santa_barbara,baseline,1,nawi,plant_cap_utilization
solaire,baseline,2020,nawi,analysis_year
solaire,baseline,new york,nawi,location_basis
solaire,baseline,30,nawi,plant_life_yrs
solaire,baseline,0.0015,nawi,land_cost_percent
solaire,baseline,0.05,nawi,working_capital_percent
solaire,baseline,0.001,nawi,salaries_percent
solaire,baseline,0.9,nawi,employee_benefits_percent
solaire,baseline,0.008,nawi,maintenance_cost_percent
solaire,baseline,0.003,nawi,laboratory_fees_percent
solaire,baseline,0.002,nawi,insurance_and_taxes_percent
solaire,baseline,0.7,nawi,default_cap_scaling_exp
solaire,baseline,0.7,nawi,default_opex_scaling_exp
solaire,baseline,0,nawi,cap_by_equity
solaire,baseline,0.05,nawi,debt_interest_rate
solaire,baseline,0.1,nawi,exp_return_on_equity
solaire,baseline,3.4,nawi,default_tpec_multiplier
solaire,baseline,1.65,nawi,default_tic_multiplier
solaire,baseline,0.0005,nawi,base_salary_per_fci
solaire,baseline,1,nawi,plant_cap_utilization
tampa_bay,baseline,2020,nawi,analysis_year
tampa_bay,baseline,florida,nawi,location_basis
tampa_bay,baseline,20,nawi,plant_life_yrs
tampa_bay,baseline,0.0015,nawi,land_cost_percent
tampa_bay,baseline,0.05,nawi,working_capital_percent
tampa_bay,baseline,0.0015,nawi,salaries_percent
tampa_bay,baseline,0.9,nawi,employee_benefits_percent
tampa_bay,baseline,0.008,nawi,maintenance_cost_percent
tampa_bay,baseline,0.003,nawi,laboratory_fees_percent
tampa_bay,baseline,0.002,nawi,insurance_and_taxes_percent
tampa_bay,baseline,0.7,nawi,default_cap_scaling_exp
tampa_bay,baseline,0.7,nawi,default_opex_scaling_exp
tampa_bay,baseline,0,nawi,cap_by_equity
tampa_bay,baseline,0.05,nawi,debt_interest_rate
tampa_bay,baseline,0.1,nawi,exp_return_on_equity
tampa_bay,baseline,3.4,nawi,default_tpec_multiplier
tampa_bay,baseline,1.65,nawi,default_tic_multiplier
tampa_bay,baseline,0.0005,nawi,base_salary_per_fci
tampa_bay,baseline,0.75,nawi,plant_cap_utilization
test,baseline,2020,nawi,analysis_year
test,baseline,colorado,nawi,location_basis
test,baseline,20,nawi,plant_life_yrs
test,baseline,0.0015,nawi,land_cost_percent
test,baseline,0.05,nawi,working_capital_percent
test,baseline,0.001,nawi,salaries_percent
test,baseline,0.9,nawi,employee_benefits_percent
test,baseline,0.008,nawi,maintenance_cost_percent
test,baseline,0.003,nawi,laboratory_fees_percent
test,baseline,0.002,nawi,insurance_and_taxes_percent
test,baseline,0.7,nawi,default_cap_scaling_exp
test,baseline,0.7,nawi,default_opex_scaling_exp
test,baseline,0,nawi,cap_by_equity
test,baseline,0.05,nawi,debt_interest_rate
test,baseline,0.1,nawi,exp_return_on_equity
test,baseline,3.4,nawi,default_tpec_multiplier
test,baseline,1.65,nawi,default_tic_multiplier
test,baseline,0.0005,nawi,base_salary_per_fci
test,baseline,1,nawi,plant_cap_utilization
tuscarora,baseline,2020,nawi,analysis_year
tuscarora,baseline,nevada,nawi,location_basis
tuscarora,baseline,30,nawi,plant_life_yrs
tuscarora,baseline,0.0015,nawi,land_cost_percent
tuscarora,baseline,0.05,nawi,working_capital_percent
tuscarora,baseline,0.001,nawi,salaries_percent
tuscarora,baseline,0.9,nawi,employee_benefits_percent
tuscarora,baseline,0.008,nawi,maintenance_cost_percent
tuscarora,baseline,0.003,nawi,laboratory_fees_percent
tuscarora,baseline,0.002,nawi,insurance_and_taxes_percent
tuscarora,baseline,0.7,nawi,default_cap_scaling_exp
tuscarora,baseline,0.7,nawi,default_opex_scaling_exp
tuscarora,baseline,0.4,nawi,cap_by_equity
tuscarora,baseline,0.08,nawi,debt_interest_rate
tuscarora,baseline,0.1,nawi,exp_return_on_equity
tuscarora,baseline,3.4,nawi,default_tpec_multiplier
tuscarora,baseline,1.65,nawi,default_tic_multiplier
tuscarora,baseline,0.0005,nawi,base_salary_per_fci
tuscarora,baseline,1,nawi,plant_cap_utilization
upw,baseline,2020,nawi,analysis_year
upw,baseline,texas,nawi,location_basis
upw,baseline,30,nawi,plant_life_yrs
upw,baseline,0.0015,nawi,land_cost_percent
upw,baseline,0.05,nawi,working_capital_percent
upw,baseline,0.001,nawi,salaries_percent
