,Feedt,S_It,S_St,X_It,X_St,X_BHt,X_BA,X_P
4,0.2135834492282368,0.029999999999907656,0.0009687117299046177,0.0036624826723056616,0.0001926040398891395,0.009114214603604882,0.00044894744609000944,0.0013407296355750623
5,0.17284362125577898,0.03000000000000002,0.0008984562807846468,0.0036624826723291697,0.00015520496974360103,0.0079827823788946,0.0004714174607426622,0.0011768018599064823
6,0.15067013727861117,0.030000000000000027,0.0008697533022756721,0.0036624826723291606,0.00013815273498942257,0.007365697649726791,0.00048275646602578983,0.0010872523302409454
7,0.23254274849662718,0.030000000000000044,0.0010199946059840862,0.0036624826723290296,0.00021567553381192424,0.009638388427383949,0.0004374287114938946,0.0014164183893123788
8,0.3355955874626826,0.029999999999999992,0.0013767389145513912,0.003662482672328151,0.0003920253749351194,0.012467929698874216,0.0003513400888937383,0.0018227054674676006
9,0.19171363209120829,0.02999999999994778,0.0009261260604792503,0.0036624826723176693,0.00017105484698600135,0.008507448450424424,0.0004612763286934502,0.0012528852941865027
10,0.2709343851766947,0.029999999999904648,0.0011493899103771155,0.00366248267230754,0.00027357391954002484,0.01069550261174414,0.0004101314086899924,0.0015686137746796231
11,0.2057614112905429,0.029999999999910442,0.0009516013201695406,0.0036624826723044707,0.00018434995316020467,0.008897420654870633,0.00045352411905984154,0.001309367389261186
12,0.16965554189013465,0.02999999999999997,0.0008941961403943814,0.0036624826723291397,0.00015267491737076238,0.007894087129462131,0.00047306953288746994,0.0011639342301162077
13,0.19215762823136,0.029999999999864763,0.0009268727781522566,0.003662482672302381,0.00017145647888123806,0.008519816998195769,0.0004608327339646665,0.0012546850176013593
14,0.18170362748621324,0.030000000000000054,0.0009107964911610229,0.0036624826723291523,0.00016243101637645964,0.00822920073083869,0.0004667770734793059,0.0012125426739006575
15,0.21492475380761233,0.029999999999847943,0.0009718961437535772,0.00366248267229105,0.00019409358336085856,0.009151379994067252,0.00044805319506677964,0.0013461072977248737
16,0.2425221316828724,0.029999999999896998,0.001051741431040774,0.003662482672305683,0.00022953689836128894,0.009913655035691148,0.00043064305993572834,0.0014561056808456362
17,0.199176291853795,0.029999999999856457,0.0009389581252440351,0.0036624826722984165,0.00017791160162589935,0.008714728056297477,0.0004570422167728197,0.0012829219854469198
18,0.23978526208372258,0.02999999999992741,0.0010427879834979906,0.003662482672319011,0.00022562910629728375,0.00983820681970882,0.0004325647302999087,0.0014452324358635825
19,0.2518437037882527,0.029999999999869305,0.001083109711650559,0.0036624826722986476,0.0002433436752390749,0.010170419208513509,0.0004240461769511759,0.001493084883041331
20,0.1904782031539105,0.029999999999894923,0.0009241304963431863,0.0036624826723065233,0.00016995881974098364,0.008473140277446948,0.00046189672403714225,0.0012479166583245177
21,0.17917924790445494,0.030000000000000016,0.0009071901351705604,0.003662482672329097,0.00016033954470422295,0.00815900431516495,0.0004681072274390362,0.001202362771217776
22,0.2381647252735982,0.030000000000000034,0.0010375266012462529,0.003662482672329209,0.00022334172459675456,0.009793499853413502,0.00043374959289325997,0.0014387838668105525
23,0.17665586350679557,0.02999999999986704,0.0009036999692151314,0.0036624826723053333,0.00015828462479966423,0.008088885679108579,0.0004690684262472297,0.0011922060747754266
24,0.2582660036701495,0.02999999999990669,0.0011051307315166144,0.0036624826723065814,0.0002532220627874477,0.01034716434004299,0.00041956677963740424,0.0015185197714004351
25,0.2621430878307592,0.029999999999831987,0.0011188249205809314,0.0036624826722922873,0.00025939570839856826,0.010453811995701721,0.0004164455561393071,0.0015338641067468718
26,0.15815642530231738,0.030000000000000016,0.000879285148322823,0.003662482672329114,0.00014378442957850275,0.007574084320103669,0.0004789646672302337,0.0011174985284373642
27,0.22920309514600146,0.029999999999909925,0.0010100147701266116,0.0036624826722971245,0.00021129190663377956,0.009546211925916292,0.00043949400733281195,0.0014031278027435117
28,0.1985191891398863,0.030000000000000054,0.0009377195037444866,0.0036624826723291293,0.00017727884710353592,0.00869643111938627,0.00045770313053979437,0.0012802596803694936
29,0.17809599478455646,0.030000000000000027,0.0009056669235935818,0.0036624826723290677,0.00015945054627207028,0.008128878543185537,0.0004686759394000936,0.0011979935437108312
30,0.22822836387545603,0.02999999999990776,0.0010071477790960016,0.003662482672292869,0.00021003205958896424,0.00951929146744474,0.0004401353015105212,0.0013992434348042916
31,0.1769900864698918,0.03000000000000002,0.0009041255829697406,0.0036624826723290994,0.00015854790547436114,0.008098120779500161,0.0004692553860144422,0.0011935324299853956
32,0.19469795367768547,0.029999999999847853,0.0009311068987111464,0.0036624826722990397,0.00017375095409456423,0.008590385840043912,0.00045943067585962015,0.0012649115149355994
33,0.24668872269145026,0.030000000000000065,0.0010654312668569783,0.0036624826723291224,0.00023557120195039205,0.010028439792381749,0.00042798909684911584,0.0014726345580471875
34,0.23323905464010355,0.02999999999984071,0.0010222899425187085,0.0036624826722889683,0.00021664714444255429,0.009657650033682309,0.0004366315363446569,0.0014192076399476088
35,0.158967875412217,0.030000000000000054,0.0008803224245885375,0.0036624826723291536,0.00014440144860112,0.007596669452247147,0.00047855153795533514,0.0011207763388110822
36,0.1939433738467095,0.030000000000000027,0.0009297727922257806,0.00366248267232901,0.00017305089834659292,0.00856936514648257,0.00046021521319468346,0.0012618519838181214
37,0.15369050870666026,0.02999999999990368,0.0008736141540932489,0.003662482672310015,0.0001404168586289997,0.007449825540859055,0.0004809547247926975,0.001099474293628632
38,0.151268149475887,0.030000000000000027,0.0008705138476333958,0.003662482672329101,0.00013859886606255327,0.007382345026346934,0.00048245453475012824,0.0010896687826069534
39,0.1965913711909083,0.029999999999851746,0.0009343643708772578,0.0036624826722994296,0.00017549143924248305,0.008642965526167144,0.00045841069410059696,0.0012725284742451427
40,0.14908082650426258,0.030000000000000027,0.0008677313205707656,0.0036624826723293475,0.00013696997309610236,0.007321453821666395,0.00048355668669007644,0.001080829990394597
41,0.16648825421555125,0.0299999999997441,0.0008900151079933125,0.0036624826721963952,0.00015019108981942676,0.007806040743328084,0.0004743813364740077,0.0011511799569440843
42,0.22197223969379537,0.02999999999988794,0.0009897090521868346,0.0036624826722918558,0.00020225918745624165,0.009346383455525622,0.0004439730886287208,0.0013742810672042586
43,0.22598978125668598,0.030000000000000034,0.0010007428369845808,0.0036624826723290565,0.00020719410297515643,0.009457409041238683,0.0004415933963865143,0.0013903041116796909
44,0.2246684758862536,0.030000000000784333,0.0009952005246996825,0.0036624826738450556,0.00020512477381124929,0.009420641010605583,0.00043955430779809413,0.0013848808088742042
45,0.20762156490860123,0.029999999999899524,0.0009554792159350405,0.003662482672305145,0.00018625519119320582,0.008949006449609742,0.0004523844055291626,0.0013168338087867423
