,Feed,S_I,S_S,X_I,X_S,X_BH,X_BA,X_P
102,0.16221814750129565,0.5478997085250502,0.6616383768923494,1.158568139782198,1.857138717948447,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
103,0.25919512077329626,0.6752565095243671,0.7334332898641679,1.4232211582854588,2.3251835623330788,9.999986577764997e-07,9.999986577764997e-07,9.999986577764997e-07
104,0.14951257089170636,0.5311404393098459,0.6700781941222408,1.1237356951134794,1.7947643178823682,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
105,0.16457095183778003,0.550991464575722,0.6671427386346319,1.164995450754223,1.8683372672005962,9.999986201174996e-07,9.999986201174996e-07,9.999986201174996e-07
106,0.21609440861905377,0.6187897954788426,0.7362213508800928,1.3058998550834195,2.116156273317694,9.999990880826025e-07,9.999990880826025e-07,9.999990880826025e-07
107,0.1845400997696473,0.5773135523355901,0.6765158539444579,1.2197014713860843,1.965313254763268,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
108,0.1641986342627052,0.5505124449032267,0.6587688663218576,1.1639983421887885,1.866930536103747,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
109,0.188682079150385,0.5827380440507584,0.725372721033611,1.2309780961142016,1.9832496173025684,9.99999040834609e-07,9.99999040834609e-07,9.99999040834609e-07
110,0.255305873191598,0.6701754330431952,0.7331374308729214,1.4126646041708084,2.3063985685834383,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
111,0.1750976932954267,0.5648597398047017,0.6875955959095519,1.193819606926089,1.9187537520213342,9.999986466735946e-07,9.999986466735946e-07,9.999986466735946e-07
112,0.19377100857273113,0.5894753755048272,0.6665243607709619,1.2449768558849916,2.0107447102098384,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
113,0.17638186486141022,0.5665817786321584,0.6427106203709442,1.1973958541479075,1.9270842596188285,9.999999983881367e-07,9.999999983881367e-07,9.999999983881367e-07
114,0.1894823252903326,0.5838006724520282,0.7162238826499904,1.2331856469980238,1.987580410208396,9.999995177832613e-07,9.999995177832613e-07,9.999995177832613e-07
115,0.13436207236004352,0.5111622092113104,0.660484347279555,1.0822117023431284,1.7212667806241178,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
116,0.2239490172998287,0.6291016305214472,0.7287771599077446,1.3273270306780982,2.154631453560879,9.999991172690838e-07,9.999991172690838e-07,9.999991172690838e-07
117,0.22541440001549637,0.6310255007223151,0.7351432958173885,1.3313241487810126,2.1614711899801735,1.000000000001653e-06,1.000000000001653e-06,1.000000000001653e-06
118,0.19338515177078222,0.5889663296890386,0.668600046479005,1.243919009931548,2.008770777334751,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
