,filtered_x,filtered_y,bvs_est,test_xs,obj,resin,species,curve_id,fs.unit.bv_50,fs.unit.mass_transfer_coeff,fs.unit.freundlich_n
105,,,349544.0803717377,0.8430000000000001,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
106,,,377183.65526240197,0.892,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
107,,,420536.74305659503,0.9410000000000001,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
108,,,544055.645226954,0.99,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
109,0.005,31645.56962,49718.84686796918,0.01,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
110,0.225259734,176371.308,107227.626491081,0.059000000000000004,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
111,0.358182063,208438.8186,133502.11140595656,0.108,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
112,0.407773766,229113.9241,152957.1261496219,0.15700000000000003,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
113,0.514103135,254430.3797,169354.33254644275,0.20600000000000002,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
114,,,184096.38280147302,0.255,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
115,,,197892.48125502034,0.30400000000000005,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
116,,,211175.09380257298,0.35300000000000004,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
117,,,224249.72979283158,0.402,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
118,,,237362.83537100803,0.451,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
119,,,250739.78912493945,0.5,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
120,,,264612.18540817953,0.549,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
121,,,279244.10675786494,0.5980000000000001,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
122,,,294965.40255343594,0.647,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
123,,,312223.3292941619,0.6960000000000001,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
124,,,331675.2511512617,0.745,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
125,,,354377.83551357506,0.794,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
126,,,382234.779732206,0.8430000000000001,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
127,,,419303.8633530645,0.892,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
128,,,477289.5739252764,0.9410000000000001,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
129,,,642044.5701019178,0.99,5855822.682979723,calgon_calres_2301,PFBS,6,250739.78912690945,0.14981891428859978,1.1475422624569078
130,0.005,52742.61603,101106.0227639555,0.01,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
131,0.013248699,151476.7932,156992.56876472765,0.059000000000000004,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
132,0.153561206,177215.1899,177903.089350387,0.108,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
133,0.2258862,201265.8228,191919.01205656235,0.15700000000000003,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
134,0.28649415300000003,209704.6414,202919.0483479613,0.20600000000000002,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
135,0.362498309,229957.8059,212265.10364065328,0.255,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
136,0.442383371,254430.3797,220607.88854930186,0.30400000000000005,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
137,,,228319.24552300767,0.35300000000000004,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
138,,,235641.5705170943,0.402,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
139,,,242752.16289709244,0.451,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
140,,,249796.23247251235,0.5,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
141,,,256907.33419025582,0.549,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
142,,,264223.528260868,0.5980000000000001,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
143,,,271904.51562864205,0.647,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
144,,,280155.46318196604,0.6960000000000001,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
145,,,289267.6241264258,0.745,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
146,,,299699.56090868125,0.794,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
147,,,312267.966813307,0.8430000000000001,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
148,,,328703.4564480285,0.892,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
149,,,353984.73254454555,0.9410000000000001,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
150,,,424595.8886020367,0.99,422156941.9022441,a694e,PFBS,7,249796.23247354972,0.06830394892925906,1.758758925766246
